"visitnumber","visitid","visitstarttime","date","fullvisitorid","channelgrouping","socialengagementtype","pageviews","unit_price"
2,1494939498,1494939498,"2017-05-16",1.109963429995702E+18,"Organic Search","Not Socially Engaged",1,0
1,1494939925,1494939925,"2017-05-16",1.4206546999418048E+18,"Organic Search","Not Socially Engaged",1,0
31,1494955503,1494955503,"2017-05-16",8.025955470222388E+18,"Organic Search","Not Socially Engaged",1,0
1,1494964445,1494964445,"2017-05-16",6.222842314994907E+18,"Organic Search","Not Socially Engaged",1,0
1,1497830814,1497830814,"2017-06-18",6.989272692880963E+18,"Direct","Not Socially Engaged",1,0
1,1494884347,1494884347,"2017-05-15",2.0921307074200294E+18,"Organic Search","Not Socially Engaged",1,0
1,1494875930,1494875930,"2017-05-15",2.2216903627314744E+18,"Organic Search","Not Socially Engaged",1,0
2,1495004971,1495004971,"2017-05-17",6.327178386506796E+18,"Organic Search","Not Socially Engaged",1,0
4,1495039459,1495039459,"2017-05-17",6.123991682674195E+18,"Organic Search","Not Socially Engaged",1,0
1,1495027562,1495027562,"2017-05-17",9.952335039031704E+18,"Organic Search","Not Socially Engaged",1,0
1,1495018329,1495018329,"2017-05-17",7.576730788066313E+18,"Organic Search","Not Socially Engaged",1,0
1,1495032602,1495032602,"2017-05-17",8.615168524370536E+18,"Organic Search","Not Socially Engaged",1,0
2,1493691526,1493691526,"2017-05-01",6.91720966691551E+17,"Organic Search","Not Socially Engaged",1,0
4,1494271849,1494271849,"2017-05-08",6.191646327724915E+17,"Referral","Not Socially Engaged",1,0
4,1500848410,1500848410,"2017-07-23",8.575271883363206E+18,"Organic Search","Not Socially Engaged",1,0
2,1495071770,1495071770,"2017-05-17",5.238082798673186E+18,"Direct","Not Socially Engaged",1,0
1,1497829707,1497829707,"2017-06-18",7.7761123763306E+18,"Organic Search","Not Socially Engaged",1,0
1,1497824581,1497824581,"2017-06-18",5.126138497410538E+18,"Direct","Not Socially Engaged",1,0
1,1498064323,1498064323,"2017-06-21",8.293896215691287E+17,"Direct","Not Socially Engaged",1,0
1,1494965145,1494965145,"2017-05-16",5.218671099386377E+18,"Organic Search","Not Socially Engaged",2,0
1,1500470903,1500470903,"2017-07-19",4.3823148659521203E+18,"Referral","Not Socially Engaged",2,0
1,1501116436,1501116436,"2017-07-26",4.3316144063851735E+18,"Referral","Not Socially Engaged",2,0
3,1501119663,1501119663,"2017-07-26",8.770623348929889E+18,"Direct","Not Socially Engaged",2,0
1,1494883029,1494883029,"2017-05-15",2.3736386252166564E+18,"Organic Search","Not Socially Engaged",2,0
2,1500859459,1500859459,"2017-07-23",16182068550460804,"Referral","Not Socially Engaged",1,149000000
2,1500411816,1500411816,"2017-07-18",8.895720712635364E+18,"Organic Search","Not Socially Engaged",3,0
1,1495296701,1495296701,"2017-05-20",6.441878153905748E+18,"Direct","Not Socially Engaged",3,6990000
7,1493889606,1493889606,"2017-05-04",1.771387275691956E+18,"Direct","Not Socially Engaged",2,0
1,1500495756,1500495756,"2017-07-19",1.0448706208787456E+18,"Referral","Not Socially Engaged",5,0
1,1495318425,1495318425,"2017-05-20",8.132549100267241E+18,"Direct","Not Socially Engaged",6,6990000
60,1494668365,1494668365,"2017-05-13",3.148617623907142E+18,"Social","Not Socially Engaged",1,0
1,1497534752,1497534752,"2017-06-15",6.37556885945202E+18,"Social","Not Socially Engaged",1,0
1,1497616628,1497616628,"2017-06-16",35279827013235732,"Social","Not Socially Engaged",1,0
1,1496232202,1496232202,"2017-05-31",7.927946485118175E+18,"Social","Not Socially Engaged",1,0
3,1499277935,1499277935,"2017-07-05",9.925768190495121E+18,"Affiliates","Not Socially Engaged",1,0
3,1494963628,1494963628,"2017-05-16",5.306602082415451E+18,"Referral","Not Socially Engaged",1,0
1,1500351731,1500351731,"2017-07-17",8.540943864591927E+18,"Organic Search","Not Socially Engaged",1,0
1,1497474412,1497474412,"2017-06-14",3.9224591608925194E+18,"Direct","Not Socially Engaged",1,0
1,1496260458,1496260458,"2017-05-31",5.231119613408739E+18,"Organic Search","Not Socially Engaged",1,0
1,1493932479,1493932479,"2017-05-04",7.04576720015914E+16,"Organic Search","Not Socially Engaged",1,0
22,1496081641,1496081641,"2017-05-29",4.710451593046097E+18,"Organic Search","Not Socially Engaged",1,0
1,1495724733,1495724733,"2017-05-25",6.026790211161016E+18,"Organic Search","Not Socially Engaged",1,0
4,1495493456,1495493456,"2017-05-22",8.632691960618192E+18,"Organic Search","Not Socially Engaged",1,0
1,1500526115,1500526115,"2017-07-19",7.190468740718126E+18,"Organic Search","Not Socially Engaged",1,0
3,1498070699,1498070699,"2017-06-21",8.714185583437296E+18,"Referral","Not Socially Engaged",1,0
1,1495762474,1495762474,"2017-05-25",3.8170209901303834E+18,"Direct","Not Socially Engaged",1,0
11,1496164290,1496164290,"2017-05-30",2.2055770612897682E+18,"Referral","Not Socially Engaged",1,0
1,1500428842,1500428842,"2017-07-18",9.172857556540088E+18,"Organic Search","Not Socially Engaged",1,0
1,1499874088,1499874088,"2017-07-12",2.9130270274305004E+18,"Organic Search","Not Socially Engaged",1,0
1,1499981009,1499981009,"2017-07-13",9.893767450769128E+17,"Organic Search","Not Socially Engaged",1,0
2,1500422741,1500422741,"2017-07-18",8.043144448664733E+18,"Referral","Not Socially Engaged",1,0
1,1498360515,1498360515,"2017-06-24",6.095157705656209E+18,"Organic Search","Not Socially Engaged",1,0
1,1493909248,1493909248,"2017-05-04",4.829803583360566E+18,"Organic Search","Not Socially Engaged",1,0
2,1501387437,1501387437,"2017-07-29",5.115370634259717E+18,"Organic Search","Not Socially Engaged",1,0
1,1497938518,1497938518,"2017-06-19",6.359081688291892E+18,"Direct","Not Socially Engaged",1,0
1,1500870192,1500870192,"2017-07-23",1.9809753980784218E+17,"Direct","Not Socially Engaged",1,0
1,1500660420,1500660420,"2017-07-21",6.179654928692159E+17,"Direct","Not Socially Engaged",1,0
1,1496172077,1496172077,"2017-05-30",6.706231810460189E+18,"Direct","Not Socially Engaged",1,0
2,1497985307,1497985307,"2017-06-20",6.403825324735247E+18,"Direct","Not Socially Engaged",1,0
1,1496869323,1496869323,"2017-06-07",7.990755400957166E+18,"Direct","Not Socially Engaged",1,0
1,1499282273,1499282273,"2017-07-05",3.0628109137917786E+17,"Direct","Not Socially Engaged",1,0
3,1498744881,1498744881,"2017-06-29",8.672697752104489E+17,"Referral","Not Socially Engaged",1,0
6,1499968558,1499968558,"2017-07-13",8.424398315190358E+18,"Organic Search","Not Socially Engaged",1,0
1,1494892250,1494892250,"2017-05-15",2.3479450520914053E+18,"Organic Search","Not Socially Engaged",1,0
1,1494883302,1494883302,"2017-05-15",2.4532695354983183E+18,"Organic Search","Not Socially Engaged",1,0
1,1494979842,1494979842,"2017-05-16",8.388581517873842E+18,"Organic Search","Not Socially Engaged",1,0
2,1494980555,1494980555,"2017-05-16",9.74116915144917E+18,"Organic Search","Not Socially Engaged",1,0
1,1494878134,1494878134,"2017-05-15",5.363128333571751E+18,"Organic Search","Not Socially Engaged",1,0
1,1494959315,1494959315,"2017-05-16",2.049743733123217E+18,"Organic Search","Not Socially Engaged",1,0
1,1494874926,1494874926,"2017-05-15",9.866703965762626E+16,"Organic Search","Not Socially Engaged",1,0
1,1494967390,1494967390,"2017-05-16",4.088281085689481E+18,"Organic Search","Not Socially Engaged",1,0
1,1494956310,1494956310,"2017-05-16",7.833515008002913E+18,"Organic Search","Not Socially Engaged",1,0
2,1494971026,1494971026,"2017-05-16",8.621715040369352E+18,"Organic Search","Not Socially Engaged",1,0
1,1494976756,1494976756,"2017-05-16",2.79963241748289E+18,"Organic Search","Not Socially Engaged",1,0
1,1494965355,1494965355,"2017-05-16",4.5850846760197565E+18,"Organic Search","Not Socially Engaged",1,0
1,1494937567,1494937567,"2017-05-16",3.7862895262531917E+18,"Direct","Not Socially Engaged",1,0
1,1494962216,1494962216,"2017-05-16",7.649846932598448E+18,"Organic Search","Not Socially Engaged",1,0
2,1495005289,1495005289,"2017-05-17",6.340673641870885E+18,"Organic Search","Not Socially Engaged",1,0
1,1499719683,1499719683,"2017-07-10",9.460981335041913E+18,"Direct","Not Socially Engaged",1,0
2,1496032867,1496032867,"2017-05-28",6.605136581563103E+18,"Organic Search","Not Socially Engaged",1,0
3,1497348183,1497348183,"2017-06-13",8.324338047027859E+18,"Organic Search","Not Socially Engaged",1,0
3,1497942914,1497942914,"2017-06-20",6.985852945428796E+18,"Organic Search","Not Socially Engaged",1,0
1,1495832162,1495832162,"2017-05-26",4.927193068909528E+18,"Direct","Not Socially Engaged",1,0
1,1497659680,1497659680,"2017-06-16",9.157219479170931E+18,"Organic Search","Not Socially Engaged",1,0
4,1499902239,1499902239,"2017-07-12",8.379218064491048E+18,"Organic Search","Not Socially Engaged",1,0
6,1501408054,1501408054,"2017-07-30",8.383279938775962E+18,"Direct","Not Socially Engaged",1,0
1,1501197735,1501197735,"2017-07-27",6.204567307870462E+18,"Direct","Not Socially Engaged",1,0
3,1501293037,1501293037,"2017-07-28",3.6175410856926843E+18,"Organic Search","Not Socially Engaged",1,0
1,1494961802,1494961802,"2017-05-16",8.690400459742409E+18,"Direct","Not Socially Engaged",2,0
1,1498660091,1498660091,"2017-06-28",4.631259512469747E+18,"Referral","Not Socially Engaged",2,0
1,1494970455,1494970455,"2017-05-16",7.338786056632131E+18,"Direct","Not Socially Engaged",2,0
1,1498253710,1498253710,"2017-06-23",8.795122027550801E+18,"Organic Search","Not Socially Engaged",2,0
2,1498412646,1498412646,"2017-06-25",3.10086395886109E+18,"Paid Search","Not Socially Engaged",2,0
1,1494980302,1494980302,"2017-05-16",1.5034331477385834E+17,"Organic Search","Not Socially Engaged",2,0
1,1500929713,1500929713,"2017-07-24",8.433842125909485E+17,"Direct","Not Socially Engaged",2,0
10,1499456652,1499456652,"2017-07-07",2.377475842786586E+18,"Organic Search","Not Socially Engaged",2,0
1,1499370893,1499370893,"2017-07-06",5.524669047009982E+18,"Direct","Not Socially Engaged",3,0
290,1495630824,1495630824,"2017-05-24",1.957458976293878E+18,"Display","Not Socially Engaged",3,0
6,1500574509,1500574509,"2017-07-20",1.7113683097965804E+18,"Referral","Not Socially Engaged",3,0
1,1494872047,1494872047,"2017-05-15",4.995976388623082E+18,"Organic Search","Not Socially Engaged",3,0
3,1494559884,1494559884,"2017-05-11",6.172178450098692E+18,"Direct","Not Socially Engaged",2,55990000
10,1500662105,1500662105,"2017-07-21",5.102453641918879E+18,"Referral","Not Socially Engaged",3,5590000
1,1501103610,1501104001,"2017-07-26",2.4567427281565097E+18,"Direct","Not Socially Engaged",4,0
2,1494500132,1494500132,"2017-05-11",6.532341576247975E+18,"Direct","Not Socially Engaged",7,1791000
1,1497492547,1497492547,"2017-06-14",2.635187933294702E+18,"Social","Not Socially Engaged",1,0
2,1499923937,1499923937,"2017-07-12",4.892902823266373E+18,"Social","Not Socially Engaged",1,0
11,1499449712,1499449712,"2017-07-07",3.264354418157736E+18,"Social","Not Socially Engaged",4,0
2,1494528470,1494528470,"2017-05-11",9.904233120553935E+18,"Organic Search","Not Socially Engaged",1,0
69,1497650891,1497650891,"2017-06-16",3.9376733800076667E+18,"Organic Search","Not Socially Engaged",1,0
1,1499471381,1499471381,"2017-07-07",3.63796880391109E+18,"Direct","Not Socially Engaged",1,0
1,1495321417,1495321417,"2017-05-20",1.9916980105001075E+18,"Direct","Not Socially Engaged",1,0
2,1495314148,1495314148,"2017-05-20",2.3881017229326556E+18,"Direct","Not Socially Engaged",1,0
1,1495419469,1495419469,"2017-05-21",2.8555814840020004E+18,"Direct","Not Socially Engaged",1,0
1,1501494060,1501494060,"2017-07-31",7.939654381660094E+18,"Organic Search","Not Socially Engaged",1,0
1,1499017662,1499017662,"2017-07-02",1.4514055449091359E+18,"Organic Search","Not Socially Engaged",1,0
1,1498030189,1498030189,"2017-06-21",6.849566357113349E+18,"Organic Search","Not Socially Engaged",1,0
3,1494881256,1494881256,"2017-05-15",1.2592077145330788E+18,"Organic Search","Not Socially Engaged",1,0
5,1498412666,1498412666,"2017-06-25",3.5209476126436255E+18,"Organic Search","Not Socially Engaged",1,0
1,1500960471,1500960471,"2017-07-24",8.504343087200797E+18,"Direct","Not Socially Engaged",1,0
5,1497653419,1497653419,"2017-06-16",9.374858160295016E+18,"Referral","Not Socially Engaged",1,0
2,1495409883,1495409883,"2017-05-21",1.4664469178382998E+17,"Organic Search","Not Socially Engaged",1,0
1,1498658931,1498658931,"2017-06-28",9.572475320715751E+18,"Organic Search","Not Socially Engaged",1,0
2,1500247354,1500247354,"2017-07-16",7.820409779080728E+18,"Organic Search","Not Socially Engaged",1,0
3,1500328419,1500328419,"2017-07-17",4.372321636920549E+18,"Organic Search","Not Socially Engaged",1,0
6,1500385755,1500385755,"2017-07-18",2.6840762965303322E+17,"Paid Search","Not Socially Engaged",1,0
1,1496002405,1496002405,"2017-05-28",8.621914849737219E+18,"Direct","Not Socially Engaged",1,0
1,1497985044,1497985044,"2017-06-20",9.188067529144022E+18,"Organic Search","Not Socially Engaged",1,0
1,1493670791,1493670791,"2017-05-01",2.6544165275502546E+18,"Direct","Not Socially Engaged",1,0
2,1494969292,1494969292,"2017-05-16",4.3729195751792474E+17,"Organic Search","Not Socially Engaged",1,0
1,1494880139,1494880139,"2017-05-15",5.769005286509986E+18,"Organic Search","Not Socially Engaged",1,0
1,1494991660,1494991660,"2017-05-16",9.059485402831179E+18,"Direct","Not Socially Engaged",1,0
1,1494953153,1494953153,"2017-05-16",5.342758959229548E+17,"Direct","Not Socially Engaged",1,0
3,1494871702,1494871702,"2017-05-15",1.6993284840731538E+18,"Organic Search","Not Socially Engaged",1,0
1,1494969249,1494969249,"2017-05-16",27899015510146244,"Organic Search","Not Socially Engaged",1,0
1,1494991896,1494991896,"2017-05-16",4.4658921613470397E+18,"Direct","Not Socially Engaged",1,0
1,1494959612,1494959612,"2017-05-16",8.59501115341746E+17,"Organic Search","Not Socially Engaged",1,0
1,1494930598,1494930598,"2017-05-16",6.053421613685482E+18,"Organic Search","Not Socially Engaged",1,0
3,1494959397,1494959397,"2017-05-16",7.650269996101061E+18,"Organic Search","Not Socially Engaged",1,0
1,1494965350,1494965350,"2017-05-16",7.575396987285973E+18,"Organic Search","Not Socially Engaged",1,0
1,1494953743,1494953743,"2017-05-16",7.836636395789784E+18,"Organic Search","Not Socially Engaged",1,0
1,1494987089,1494987089,"2017-05-16",8.077276699427722E+17,"Organic Search","Not Socially Engaged",1,0
1,1494966718,1494966718,"2017-05-16",8.457146361488294E+18,"Organic Search","Not Socially Engaged",1,0
1,1494973692,1494973692,"2017-05-16",2.255962622549356E+18,"Organic Search","Not Socially Engaged",1,0
2,1495003915,1495003915,"2017-05-16",7.706722374627588E+18,"Organic Search","Not Socially Engaged",1,0
1,1494885114,1494885114,"2017-05-15",1.8307836062492243E+17,"Organic Search","Not Socially Engaged",1,0
1,1494935641,1494935641,"2017-05-16",6.477888541367852E+18,"Organic Search","Not Socially Engaged",1,0
1,1495011561,1495011561,"2017-05-17",9.008088096569288E+18,"Organic Search","Not Socially Engaged",1,0
1,1501472190,1501472190,"2017-07-30",6.4920074695645E+18,"Organic Search","Not Socially Engaged",1,0
1,1499791773,1499791773,"2017-07-11",3.6949583580269046E+18,"Referral","Not Socially Engaged",1,0
1,1497972933,1497972933,"2017-06-20",4.836682859505431E+17,"Organic Search","Not Socially Engaged",1,0
1,1496225767,1496225767,"2017-05-31",9.56841423615395E+18,"Organic Search","Not Socially Engaged",1,0
1,1497818637,1497818637,"2017-06-18",1.1520375392812941E+18,"Organic Search","Not Socially Engaged",1,0
1,1497933070,1497933070,"2017-06-19",9.808262286539215E+18,"Organic Search","Not Socially Engaged",1,0
4,1498070182,1498070182,"2017-06-21",7.934607894015748E+18,"Organic Search","Not Socially Engaged",1,0
1,1497974580,1497974580,"2017-06-20",4.177865805661142E+18,"Affiliates","Not Socially Engaged",2,0
1,1496802081,1496802081,"2017-06-06",25369283437705916,"Referral","Not Socially Engaged",2,0
1,1501254819,1501254819,"2017-07-28",9.529818207550364E+18,"Affiliates","Not Socially Engaged",2,0
1,1500975115,1500975115,"2017-07-25",3.4239240315977697E+18,"Referral","Not Socially Engaged",2,0
2,1496949733,1496949733,"2017-06-08",8.643991718346848E+18,"Referral","Not Socially Engaged",1,15190000
1,1494939969,1494939969,"2017-05-16",3.271559731154207E+17,"Organic Search","Not Socially Engaged",2,0
2,1494984169,1494984169,"2017-05-16",3.4471167472278697E+18,"Direct","Not Socially Engaged",2,0
1,1499130627,1499130627,"2017-07-03",4.582059098455513E+18,"Organic Search","Not Socially Engaged",3,0
1,1500930934,1500930934,"2017-07-24",3.540338946624414E+17,"Organic Search","Not Socially Engaged",3,0
2,1497660690,1497660690,"2017-06-16",4.15264052077327E+15,"Organic Search","Not Socially Engaged",2,20990000
2,1501109138,1501109138,"2017-07-26",8.497745489126897E+17,"Organic Search","Not Socially Engaged",4,0
1,1496467494,1496467494,"2017-06-02",8.496203341741377E+17,"Direct","Not Socially Engaged",8,6990000
1,1494991773,1494991773,"2017-05-16",3.4514781116722176E+17,"Social","Not Socially Engaged",1,55990000
79,1495550891,1495550891,"2017-05-23",3.148617623907142E+18,"Social","Not Socially Engaged",1,0
1,1497536000,1497536000,"2017-06-15",4.684521345584124E+18,"Social","Not Socially Engaged",1,0
1,1497488744,1497488744,"2017-06-14",3.390211069266289E+17,"Social","Not Socially Engaged",1,0
1,1497547516,1497547516,"2017-06-15",2.3376949334098796E+18,"Social","Not Socially Engaged",1,0
1,1497467912,1497467912,"2017-06-14",4.1609848570091305E+18,"Social","Not Socially Engaged",1,0
1,1494008268,1494008268,"2017-05-05",7.325137174482801E+18,"Organic Search","Not Socially Engaged",1,0
1,1500302651,1500302651,"2017-07-17",5.799132487979841E+18,"Organic Search","Not Socially Engaged",1,0
2,1496829901,1496829901,"2017-06-07",9.416621191888267E+18,"Organic Search","Not Socially Engaged",1,0
3,1496945203,1496945203,"2017-06-08",9.416621191888267E+18,"Organic Search","Not Socially Engaged",1,0
9,1495137171,1495137171,"2017-05-18",2.69401447946183E+18,"Organic Search","Not Socially Engaged",1,0
3,1497898645,1497898645,"2017-06-19",9.839986196824973E+18,"Referral","Not Socially Engaged",1,0
1,1494694556,1494694556,"2017-05-13",1.4635563064156938E+17,"Organic Search","Not Socially Engaged",1,0
2,1500043036,1500043036,"2017-07-14",6.324475973165251E+18,"Organic Search","Not Socially Engaged",1,0
1,1495964129,1495964129,"2017-05-28",7.129258642566644E+18,"Organic Search","Not Socially Engaged",1,0
2,1495756433,1495756433,"2017-05-25",3.451334966616695E+17,"Organic Search","Not Socially Engaged",1,0
1,1499911622,1499911622,"2017-07-12",5.163822549793525E+18,"Organic Search","Not Socially Engaged",1,0
1,1500336195,1500336195,"2017-07-17",9.705285427776426E+18,"Organic Search","Not Socially Engaged",1,0
1,1498019985,1498019985,"2017-06-20",4.456063476312375E+18,"Organic Search","Not Socially Engaged",1,0
1,1501584280,1501584280,"2017-08-01",1.5349045955574538E+18,"Direct","Not Socially Engaged",1,0
1,1497887603,1497887603,"2017-06-19",3.204220391380137E+18,"Organic Search","Not Socially Engaged",1,0
10,1497048025,1497048025,"2017-06-09",9.05066989430924E+18,"Organic Search","Not Socially Engaged",1,0
2,1497897443,1497897443,"2017-06-19",7.792714795796107E+18,"Organic Search","Not Socially Engaged",1,0
2,1494948820,1494948820,"2017-05-16",9.340450348149555E+18,"Organic Search","Not Socially Engaged",1,0
1,1494948978,1494948978,"2017-05-16",7.66197556607478E+18,"Organic Search","Not Socially Engaged",1,0
1,1494971153,1494971153,"2017-05-16",2.8458423213818675E+18,"Organic Search","Not Socially Engaged",1,0
1,1494894056,1494894056,"2017-05-15",8.580246895348539E+17,"Direct","Not Socially Engaged",1,0
1,1494993156,1494993156,"2017-05-16",4.909465973305333E+18,"Organic Search","Not Socially Engaged",1,0
1,1494956904,1494956904,"2017-05-16",8.546713292662899E+18,"Organic Search","Not Socially Engaged",1,0
1,1494950912,1494950912,"2017-05-16",5.0897240038060083E+17,"Organic Search","Not Socially Engaged",1,0
1,1494961789,1494961789,"2017-05-16",6.620101984783061E+18,"Organic Search","Not Socially Engaged",1,0
1,1494953556,1494953556,"2017-05-16",7.297086861063013E+18,"Direct","Not Socially Engaged",1,0
2,1494953852,1494953852,"2017-05-16",5.496350805762946E+18,"Organic Search","Not Socially Engaged",1,0
3,1494976787,1494976787,"2017-05-16",9.005870314355552E+18,"Organic Search","Not Socially Engaged",1,0
1,1494942471,1494942471,"2017-05-16",2.9707472713590026E+18,"Organic Search","Not Socially Engaged",1,0
7,1494947072,1494947072,"2017-05-16",5.969031097251772E+18,"Organic Search","Not Socially Engaged",1,0
1,1494906959,1494906959,"2017-05-15",8.62763939443061E+18,"Organic Search","Not Socially Engaged",1,0
1,1494888002,1494888002,"2017-05-15",1.7315378999036462E+18,"Organic Search","Not Socially Engaged",1,0
1,1494898361,1494898361,"2017-05-15",4.5556012794034033E+18,"Organic Search","Not Socially Engaged",1,0
1,1494871326,1494871326,"2017-05-15",6.174995450924842E+18,"Organic Search","Not Socially Engaged",1,0
1,1494956007,1494956007,"2017-05-16",7.784173837614989E+17,"Organic Search","Not Socially Engaged",1,0
3,1494896453,1494896453,"2017-05-15",5.675336033045311E+18,"Organic Search","Not Socially Engaged",1,0
7,1495036177,1495036177,"2017-05-17",3.742537659230873E+17,"Organic Search","Not Socially Engaged",1,0
1,1495026733,1495026733,"2017-05-17",5.990588901113394E+18,"Organic Search","Not Socially Engaged",1,0
1,1495039651,1495039651,"2017-05-17",6.933580930878893E+18,"Organic Search","Not Socially Engaged",1,0
1,1495030048,1495030048,"2017-05-17",4.790730635419977E+18,"Organic Search","Not Socially Engaged",1,0
4,1497495101,1497495101,"2017-06-14",1.235630833395384E+18,"Direct","Not Socially Engaged",1,0
4,1501463648,1501463648,"2017-07-30",9.111260541712908E+17,"Organic Search","Not Socially Engaged",1,0
1,1497796835,1497796835,"2017-06-18",4.773761364366275E+18,"Organic Search","Not Socially Engaged",1,0
1,1498061057,1498061057,"2017-06-21",7.26526139457323E+18,"Organic Search","Not Socially Engaged",1,0
1,1500912220,1500912220,"2017-07-24",9.323200415855899E+18,"Referral","Not Socially Engaged",1,0
1,1501475478,1501475478,"2017-07-30",7.885793634005245E+16,"Direct","Not Socially Engaged",2,0
1,1500806928,1500806928,"2017-07-23",7.382718993241667E+18,"Affiliates","Not Socially Engaged",2,0
5,1498597564,1498597564,"2017-06-27",3.8823328925914527E+18,"Referral","Not Socially Engaged",2,0
40,1499687356,1499687356,"2017-07-10",3.035140384733523E+18,"Organic Search","Not Socially Engaged",2,0
6,1501187106,1501187106,"2017-07-27",8.06782657686727E+18,"Referral","Not Socially Engaged",2,0
1,1495001743,1495001743,"2017-05-16",5.700992541928667E+18,"Direct","Not Socially Engaged",2,0
5,1501114933,1501114933,"2017-07-26",3.560604755423629E+18,"Organic Search","Not Socially Engaged",2,0
1,1500914522,1500914522,"2017-07-24",1.4212514302831729E+18,"Direct","Not Socially Engaged",2,0
7,1497890861,1497890861,"2017-06-19",4.11656453402071E+18,"Direct","Not Socially Engaged",1,79000000
1,1501565010,1501565010,"2017-07-31",3.463192066007015E+18,"Organic Search","Not Socially Engaged",3,0
1,1499701898,1499701898,"2017-07-10",5.690585201319858E+18,"Direct","Not Socially Engaged",3,0
1,1501033941,1501033941,"2017-07-25",41945166101332104,"Paid Search","Not Socially Engaged",3,0
3,1494441305,1494441305,"2017-05-10",7.137319829017644E+17,"Referral","Not Socially Engaged",2,58790000
2,1498752536,1498752536,"2017-06-29",2.1215753978190813E+17,"Organic Search","Not Socially Engaged",2,59990000
4,1499449459,1499449459,"2017-07-07",6.090251304060882E+18,"Referral","Not Socially Engaged",2,119000000
2,1495120000,1495120000,"2017-05-18",5.988717949752144E+18,"Referral","Not Socially Engaged",4,0
1,1493700984,1493700984,"2017-05-01",6.941475665652633E+18,"Organic Search","Not Socially Engaged",4,39190000
2,1499762819,1499762819,"2017-07-11",7.10880426615461E+17,"Affiliates","Not Socially Engaged",5,20290000
1,1496231339,1496231339,"2017-05-31",5.553783352426612E+18,"Direct","Not Socially Engaged",8,9090000
77,1495367140,1495367140,"2017-05-21",3.148617623907142E+18,"Social","Not Socially Engaged",1,0
1,1495754436,1495754436,"2017-05-25",1.2407176468686912E+18,"Social","Not Socially Engaged",1,0
1,1497492595,1497492595,"2017-06-14",3.992259389953342E+18,"Social","Not Socially Engaged",1,0
1,1497484674,1497484674,"2017-06-14",1.7024871496214523E+18,"Social","Not Socially Engaged",1,0
1,1497470501,1497470501,"2017-06-14",8.687505169842193E+18,"Social","Not Socially Engaged",1,0
1,1497474206,1497474206,"2017-06-14",3.175180121691146E+18,"Social","Not Socially Engaged",1,0
1,1500219259,1500219259,"2017-07-16",7.033327637414948E+18,"Social","Not Socially Engaged",2,0
1,1500372000,1500372000,"2017-07-18",4.360695816568018E+18,"Social","Not Socially Engaged",2,0
1,1499474357,1499474357,"2017-07-07",5.381426541475818E+18,"Social","Not Socially Engaged",2,0
1,1497484148,1497484148,"2017-06-14",9.069164984210716E+18,"Social","Not Socially Engaged",2,0
10,1498097983,1498097983,"2017-06-21",2.0161120433473784E+18,"Organic Search","Not Socially Engaged",1,0
3,1495319190,1495319190,"2017-05-20",5.836941061736583E+18,"Direct","Not Socially Engaged",1,0
1,1495369657,1495369657,"2017-05-21",5.445891302317943E+18,"Direct","Not Socially Engaged",1,0
2,1497881296,1497881296,"2017-06-19",1.5524189672244326E+18,"Direct","Not Socially Engaged",1,0
2,1495813979,1495813979,"2017-05-26",6.497533234689389E+18,"Organic Search","Not Socially Engaged",1,0
2,1495866457,1495866457,"2017-05-26",6.856164551163623E+18,"Organic Search","Not Socially Engaged",1,0
1,1500455996,1500455996,"2017-07-19",2.8323666104593638E+17,"Direct","Not Socially Engaged",1,0
1,1500241504,1500241504,"2017-07-16",1.922386268294895E+18,"Organic Search","Not Socially Engaged",1,0
1,1500060883,1500060883,"2017-07-14",9.968078509858953E+17,"Organic Search","Not Socially Engaged",1,0
1,1498848683,1498848683,"2017-06-30",6.441896183473526E+18,"Organic Search","Not Socially Engaged",1,0
1,1501237524,1501237524,"2017-07-28",3.755476346358487E+18,"Organic Search","Not Socially Engaged",1,0
1,1497422840,1497422840,"2017-06-13",1.1665084051846625E+18,"Direct","Not Socially Engaged",1,0
1,1501462834,1501462834,"2017-07-30",6.488906160062121E+18,"Direct","Not Socially Engaged",1,0
1,1500220647,1500220647,"2017-07-16",8.458083786969061E+18,"Organic Search","Not Socially Engaged",1,0
7,1501283959,1501283959,"2017-07-28",6.896583334414425E+18,"Referral","Not Socially Engaged",1,0
6,1497901143,1497901143,"2017-06-19",9.374858160295016E+18,"Referral","Not Socially Engaged",1,0
2,1497368224,1497368224,"2017-06-13",2.4759232217370936E+18,"Organic Search","Not Socially Engaged",1,0
1,1499960633,1499960633,"2017-07-13",8.561933844385082E+18,"Organic Search","Not Socially Engaged",1,0
11,1498442384,1498442384,"2017-06-25",2.4708721262683643E+18,"Direct","Not Socially Engaged",1,0
1,1496021583,1496021583,"2017-05-28",8.594707668488368E+16,"Organic Search","Not Socially Engaged",1,0
5,1500264533,1500264533,"2017-07-16",1.617723217647524E+18,"Referral","Not Socially Engaged",1,0
7,1499631026,1499631026,"2017-07-09",8.672697752104489E+17,"Referral","Not Socially Engaged",1,0
2,1494966664,1494966664,"2017-05-16",1.562190554882319E+18,"Organic Search","Not Socially Engaged",1,0
1,1495754618,1495754618,"2017-05-25",2.5943093153493706E+17,"Direct","Not Socially Engaged",1,0
2,1494972259,1494972259,"2017-05-16",4.2964824992865336E+18,"Organic Search","Not Socially Engaged",1,0
