"visitnumber","visitid","visitstarttime","date","fullvisitorid","channelgrouping","socialengagementtype","pageviews","unit_price"
3,1493666949,1493666949,"2017-05-01",4.0319935073824164E+18,"Direct","Not Socially Engaged",15,33590000
2,1500976125,1500976125,"2017-07-25",9.461427731756436E+17,"Direct","Not Socially Engaged",15,19990000
2,1499178568,1499178568,"2017-07-04",3.8608195913647027E+18,"Social","Not Socially Engaged",15,2990000
6,1495571919,1495571919,"2017-05-23",1.8695990902106813E+18,"Referral","Not Socially Engaged",15,0
24,1500991371,1500991371,"2017-07-25",9.616848609211599E+18,"Direct","Not Socially Engaged",15,55990000
4,1496374593,1496374593,"2017-06-01",5.479191024544874E+17,"Organic Search","Not Socially Engaged",15,119000000
2,1500610418,1500610418,"2017-07-20",21971921291185968,"Organic Search","Not Socially Engaged",15,58990000
2,1500593826,1500593826,"2017-07-20",6.231250332087896E+17,"Referral","Not Socially Engaged",15,249000000
3,1499791566,1499791566,"2017-07-11",3.882753124935507E+18,"Referral","Not Socially Engaged",15,9990000
2,1500727745,1500727745,"2017-07-22",9.666391028074904E+18,"Referral","Not Socially Engaged",15,99990000
12,1494939133,1494939133,"2017-05-16",8.50055192788831E+18,"Organic Search","Not Socially Engaged",15,18990000
2,1494623448,1494623448,"2017-05-12",6.419799388505055E+17,"Referral","Not Socially Engaged",15,119000000
4,1499058658,1499058658,"2017-07-02",4.4679779041561446E+18,"Organic Search","Not Socially Engaged",15,99990000
5,1500049311,1500049311,"2017-07-14",8.418984044459407E+18,"Referral","Not Socially Engaged",15,119000000
2,1501487317,1501487317,"2017-07-31",7.997863315885698E+16,"Organic Search","Not Socially Engaged",15,55990000
6,1500935650,1500935650,"2017-07-24",1.5685226143369713E+18,"Referral","Not Socially Engaged",15,1990000
2,1499668998,1499668998,"2017-07-09",5.366765832935552E+18,"Referral","Not Socially Engaged",15,149000000
3,1494163683,1494163683,"2017-05-07",9.024392430717627E+18,"Referral","Not Socially Engaged",15,25000000
6,1500913704,1500913704,"2017-07-24",8.687503885928712E+17,"Referral","Not Socially Engaged",15,18990000
6,1494206969,1494206969,"2017-05-07",2.386169796638986E+18,"Direct","Not Socially Engaged",15,41990000
5,1500996926,1500996926,"2017-07-25",8.294216758576233E+17,"Referral","Not Socially Engaged",15,55990000
2,1496085883,1496085883,"2017-05-29",7.263830710060431E+17,"Organic Search","Not Socially Engaged",1,0
1,1496769798,1496769798,"2017-06-06",5.517075355985596E+18,"Referral","Not Socially Engaged",1,0
2,1501458510,1501458510,"2017-07-30",7.042758309560667E+18,"Referral","Not Socially Engaged",1,0
20,1496072400,1496072400,"2017-05-29",4.710451593046097E+18,"Organic Search","Not Socially Engaged",1,0
1,1495607845,1495607845,"2017-05-23",8.554915617946437E+18,"Organic Search","Not Socially Engaged",1,0
1,1495627429,1495627429,"2017-05-24",6.549553938420888E+17,"Organic Search","Not Socially Engaged",1,0
1,1500903933,1500903933,"2017-07-24",7.739998975734266E+18,"Direct","Not Socially Engaged",1,0
1,1496947123,1496947123,"2017-06-08",5.836509119274921E+18,"Direct","Not Socially Engaged",1,0
1,1499394033,1499394033,"2017-07-06",7.927888842263783E+18,"Direct","Not Socially Engaged",1,0
1,1500298335,1500298335,"2017-07-17",7.15983072508787E+18,"Organic Search","Not Socially Engaged",1,0
1,1498715308,1498715308,"2017-06-28",7.295865785003153E+18,"Direct","Not Socially Engaged",1,0
2,1500051475,1500051475,"2017-07-14",5.769152618339461E+18,"Organic Search","Not Socially Engaged",1,0
2,1496019738,1496019738,"2017-05-28",7.590754107375207E+18,"Organic Search","Not Socially Engaged",1,0
3,1497862330,1497862330,"2017-06-19",2.412177662968384E+18,"Organic Search","Not Socially Engaged",1,0
4,1498926394,1498926394,"2017-07-01",8.672697752104489E+17,"Referral","Not Socially Engaged",1,0
2,1498182184,1498182184,"2017-06-22",8.672697752104489E+17,"Referral","Not Socially Engaged",1,0
2,1499837479,1499837479,"2017-07-11",1.3836954932440494E+18,"Organic Search","Not Socially Engaged",1,0
1,1494952861,1494952861,"2017-05-16",6.432074677464398E+18,"Organic Search","Not Socially Engaged",1,0
2,1494883721,1494883721,"2017-05-15",4.615901445702393E+18,"Organic Search","Not Socially Engaged",1,0
1,1494961695,1494961695,"2017-05-16",6.30273708054213E+18,"Organic Search","Not Socially Engaged",1,0
3,1494961054,1494961054,"2017-05-16",4.964210001760477E+17,"Organic Search","Not Socially Engaged",1,0
2,1494972214,1494972214,"2017-05-16",5.492090975029988E+18,"Organic Search","Not Socially Engaged",1,0
1,1494960886,1494960886,"2017-05-16",3.307563321811245E+17,"Organic Search","Not Socially Engaged",1,0
5,1494883241,1494883241,"2017-05-15",5.671023822444603E+18,"Organic Search","Not Socially Engaged",1,0
2,1494980642,1494980642,"2017-05-16",6.945228582715597E+18,"Organic Search","Not Socially Engaged",1,0
1,1494955924,1494955924,"2017-05-16",1.957780412880943E+17,"Organic Search","Not Socially Engaged",1,0
1,1494969198,1494969198,"2017-05-16",6.466170612717535E+18,"Organic Search","Not Socially Engaged",1,0
1,1494957299,1494957299,"2017-05-16",9.83824699759885E+18,"Organic Search","Not Socially Engaged",1,0
1,1494885099,1494885099,"2017-05-15",9.401719661738256E+18,"Organic Search","Not Socially Engaged",1,0
1,1493663815,1493663815,"2017-05-01",3.740556515637699E+18,"Direct","Not Socially Engaged",1,0
1,1494957541,1494957541,"2017-05-16",1.3637253238058642E+18,"Organic Search","Not Socially Engaged",1,0
1,1494953126,1494953126,"2017-05-16",4.757143588343075E+18,"Organic Search","Not Socially Engaged",1,0
1,1494959004,1494959004,"2017-05-16",4.122571590477007E+18,"Organic Search","Not Socially Engaged",1,0
1,1494981189,1494981189,"2017-05-16",6.834901204840558E+18,"Organic Search","Not Socially Engaged",1,0
3,1493778106,1493778106,"2017-05-02",8.248766477273944E+18,"Direct","Not Socially Engaged",1,0
1,1495032716,1495032716,"2017-05-17",4.944946294183567E+18,"Direct","Not Socially Engaged",1,0
2,1495033251,1495033251,"2017-05-17",7.788665393773596E+18,"Organic Search","Not Socially Engaged",1,0
1,1495030599,1495030599,"2017-05-17",3.9340505739905894E+18,"Direct","Not Socially Engaged",1,0
1,1495038830,1495038830,"2017-05-17",5.378962027318063E+18,"Organic Search","Not Socially Engaged",1,0
1,1495029416,1495029416,"2017-05-17",5.933443391673214E+18,"Direct","Not Socially Engaged",1,0
1,1498736411,1498736411,"2017-06-29",9.539125866500043E+18,"Organic Search","Not Socially Engaged",1,0
2,1499215175,1499215175,"2017-07-04",3.584500258158684E+18,"Organic Search","Not Socially Engaged",1,0
1,1497960721,1497960721,"2017-06-20",3.9535897355281705E+18,"Organic Search","Not Socially Engaged",1,0
1,1499542691,1499542691,"2017-07-08",9.145888094632189E+18,"Organic Search","Not Socially Engaged",1,0
1,1494872886,1494872886,"2017-05-15",7.272944040870513E+18,"Direct","Not Socially Engaged",2,0
1,1494886801,1494886801,"2017-05-15",9.006806538125351E+18,"Direct","Not Socially Engaged",2,0
8,1500184303,1500184303,"2017-07-15",5.989017453242307E+17,"Referral","Not Socially Engaged",2,0
1,1494993646,1494993646,"2017-05-16",4.239884674568268E+17,"Direct","Not Socially Engaged",2,0
2,1500507756,1500507756,"2017-07-19",6.174914246777463E+17,"Direct","Not Socially Engaged",1,19990000
11,1500528384,1500528384,"2017-07-19",2.1944833963240302E+18,"Referral","Not Socially Engaged",1,0
1,1496824721,1496824721,"2017-06-07",9.416621191888267E+18,"Organic Search","Not Socially Engaged",3,0
1,1498282155,1498282155,"2017-06-23",6.120075666392041E+18,"Direct","Not Socially Engaged",3,0
1,1496168443,1496168443,"2017-05-30",5.111112945964502E+18,"Organic Search","Not Socially Engaged",4,0
1,1498757041,1498757041,"2017-06-29",7.609916310518082E+18,"Paid Search","Not Socially Engaged",4,0
1,1501535603,1501535612,"2017-07-31",4.0662803054151885E+18,"Direct","Not Socially Engaged",4,0
2,1495417760,1495417760,"2017-05-21",4.992865200061175E+18,"Direct","Not Socially Engaged",3,6990000
2,1495436838,1495436838,"2017-05-22",2.9706486083500303E+18,"Direct","Not Socially Engaged",4,55990000
1,1496152440,1496152440,"2017-05-30",8.189604555630371E+18,"Direct","Not Socially Engaged",3,6990000
1,1495016664,1495016664,"2017-05-17",8.85954527830305E+15,"Organic Search","Not Socially Engaged",4,0
1,1495357161,1495357161,"2017-05-21",1.155345273993058E+18,"Direct","Not Socially Engaged",10,6990000
1,1495991637,1495991637,"2017-05-28",1.0005698179936444E+18,"Social","Not Socially Engaged",1,0
75,1495311590,1495311590,"2017-05-20",3.148617623907142E+18,"Social","Not Socially Engaged",1,0
2,1497522460,1497522460,"2017-06-15",8.462155790987861E+18,"Social","Not Socially Engaged",1,0
1,1497700554,1497700554,"2017-06-17",9.966220372987367E+18,"Social","Not Socially Engaged",1,0
1,1497469585,1497469585,"2017-06-14",3.6551992616912486E+18,"Social","Not Socially Engaged",1,0
1,1500343515,1500343515,"2017-07-17",8.009833702833141E+18,"Social","Not Socially Engaged",2,0
1,1497575900,1497575900,"2017-06-15",8.024647954035769E+18,"Organic Search","Not Socially Engaged",1,0
1,1497512697,1497512697,"2017-06-15",8.147319430415841E+17,"Direct","Not Socially Engaged",1,0
1,1496842535,1496842535,"2017-06-07",9.178528429736228E+17,"Direct","Not Socially Engaged",1,0
19,1496023835,1496023835,"2017-05-28",4.710451593046097E+18,"Organic Search","Not Socially Engaged",1,0
11,1495478573,1495478573,"2017-05-22",2.69401447946183E+18,"Organic Search","Not Socially Engaged",1,0
13,1495832557,1495832557,"2017-05-26",2.69401447946183E+18,"Organic Search","Not Socially Engaged",1,0
1,1501642723,1501642723,"2017-08-01",4.577984450847728E+18,"Organic Search","Not Socially Engaged",1,0
2,1496340237,1496340237,"2017-06-01",9.708530687133819E+18,"Organic Search","Not Socially Engaged",1,0
1,1501545753,1501545753,"2017-07-31",2.940552592219283E+18,"Organic Search","Not Socially Engaged",1,0
1,1500607659,1500607659,"2017-07-20",8.157101288372139E+18,"Organic Search","Not Socially Engaged",1,0
1,1495371105,1495371105,"2017-05-21",5.870743662408664E+18,"Direct","Not Socially Engaged",1,0
2,1501288997,1501288997,"2017-07-28",6.783359184349432E+18,"Organic Search","Not Socially Engaged",1,0
1,1500478483,1500478483,"2017-07-19",8.398821404495659E+18,"Organic Search","Not Socially Engaged",1,0
1,1501488182,1501488182,"2017-07-31",9.829441089335753E+18,"Organic Search","Not Socially Engaged",1,0
1,1500032472,1500032472,"2017-07-14",4.624827268297039E+18,"Organic Search","Not Socially Engaged",1,0
1,1501488904,1501488904,"2017-07-31",7.006905788566956E+16,"Organic Search","Not Socially Engaged",1,0
1,1495183975,1495183975,"2017-05-19",11175182229267672,"Organic Search","Not Socially Engaged",1,0
1,1496191161,1496191161,"2017-05-30",6.282039128923283E+18,"Direct","Not Socially Engaged",1,0
1,1497936537,1497936537,"2017-06-19",9.49779400492645E+18,"Direct","Not Socially Engaged",1,0
2,1498639108,1498639108,"2017-06-28",9.92854236019429E+18,"Organic Search","Not Socially Engaged",1,0
1,1494602122,1494602122,"2017-05-12",7.806596657824416E+18,"Direct","Not Socially Engaged",1,0
1,1496154817,1496154817,"2017-05-30",4.328884336089307E+18,"Organic Search","Not Socially Engaged",1,0
1,1497853626,1497853626,"2017-06-18",1.8712512488998323E+18,"Organic Search","Not Socially Engaged",1,0
1,1494952486,1494952486,"2017-05-16",7.828662936557741E+16,"Organic Search","Not Socially Engaged",1,0
3,1494968333,1494968333,"2017-05-16",2.9251799993169633E+18,"Organic Search","Not Socially Engaged",1,0
2,1494872925,1494872925,"2017-05-15",8.451775887356199E+18,"Organic Search","Not Socially Engaged",1,0
1,1494998181,1494998181,"2017-05-16",8.144549137079418E+18,"Organic Search","Not Socially Engaged",1,0
1,1494910339,1494910339,"2017-05-15",7.486117209116258E+18,"Direct","Not Socially Engaged",1,0
1,1494877128,1494877128,"2017-05-15",5.781240088578675E+17,"Organic Search","Not Socially Engaged",1,0
1,1494881286,1494881286,"2017-05-15",3.140439154130591E+18,"Organic Search","Not Socially Engaged",1,0
1,1494966354,1494966354,"2017-05-16",3.060651436968576E+18,"Organic Search","Not Socially Engaged",1,0
1,1494950565,1494950565,"2017-05-16",1.9204803662628849E+18,"Organic Search","Not Socially Engaged",1,0
28,1494998626,1494998626,"2017-05-16",3.4875924862573626E+17,"Organic Search","Not Socially Engaged",1,0
1,1494937802,1494937802,"2017-05-16",6.3650725446048E+18,"Organic Search","Not Socially Engaged",1,0
1,1494880063,1494880063,"2017-05-15",6.421531235255708E+18,"Organic Search","Not Socially Engaged",1,0
1,1494966512,1494966512,"2017-05-16",5.405253580969509E+18,"Organic Search","Not Socially Engaged",1,0
1,1494876208,1494876208,"2017-05-15",6.544873332049606E+18,"Organic Search","Not Socially Engaged",1,0
3,1494980094,1494980094,"2017-05-16",2.0061626512308925E+18,"Organic Search","Not Socially Engaged",1,0
1,1495020298,1495020298,"2017-05-17",5.524957377984209E+18,"Direct","Not Socially Engaged",1,0
1,1495044567,1495044567,"2017-05-17",2.1172332358724966E+18,"Organic Search","Not Socially Engaged",1,0
1,1495017319,1495017319,"2017-05-17",3.121965694538397E+18,"Organic Search","Not Socially Engaged",1,0
5,1495038768,1495038768,"2017-05-17",4.5605988853007534E+18,"Organic Search","Not Socially Engaged",1,0
2,1495035557,1495035557,"2017-05-17",2.606909581831357E+18,"Organic Search","Not Socially Engaged",1,0
1,1495011138,1495011138,"2017-05-17",1.3146779033054978E+17,"Organic Search","Not Socially Engaged",1,0
